TOTAL_US,MEAN_US,MIN_US,MAX_US
2227.62,8.9105,8.5810,32.5800
2187.60,8.7504,8.5200,9.9600
2190.30,8.7612,8.5400,13.9600
2185.12,8.7405,8.5400,9.7400
2182.12,8.7285,8.5000,9.7400
2183.84,8.7354,8.5000,9.7400
2181.90,8.7276,8.5200,9.9000
2180.34,8.7214,8.4600,9.7200
2181.14,8.7245,8.4800,9.7200
2180.34,8.7214,8.4800,9.9000
2180.48,8.7219,8.5200,9.7210
2182.24,8.7290,8.5600,9.7000
2186.24,8.7450,8.5200,11.9400
2183.75,8.7350,8.5200,11.1600
2186.20,8.7448,8.5400,11.1800
2184.28,8.7371,8.5000,9.8800
2183.38,8.7335,8.5600,9.8400
2184.32,8.7373,8.4800,9.6200
2183.18,8.7327,8.5000,9.7800
2183.20,8.7328,8.5200,9.7600
2182.16,8.7286,8.5400,9.5200
2182.14,8.7285,8.5200,9.6600
2184.00,8.7360,8.5200,9.8400
2183.60,8.7344,8.5400,9.7400
2183.58,8.7343,8.5200,9.7410
2182.64,8.7306,8.5000,9.7600
2182.70,8.7308,8.5000,9.6800
2182.12,8.7285,8.4800,9.6000
2182.12,8.7285,8.5200,9.3600
2181.52,8.7261,8.5200,9.8010
2183.74,8.7350,8.5600,9.7800
2183.22,8.7329,8.5000,9.7010
2183.50,8.7340,8.5410,9.7000
2184.94,8.7398,8.5400,9.7600
2186.10,8.7444,8.5410,11.2800
2182.80,8.7312,8.5400,9.8000
2182.86,8.7314,8.5400,9.7000
2181.72,8.7269,8.5200,10.0610
2180.94,8.7238,8.5600,9.7010
2182.98,8.7319,8.5200,9.7600
2183.74,8.7350,8.5400,9.7000
2184.64,8.7385,8.5200,9.7800
2185.16,8.7406,8.5200,9.7200
2184.82,8.7393,8.5200,9.7000
2184.48,8.7379,8.5000,9.7000
2184.94,8.7398,8.5200,9.8410
2184.12,8.7365,8.5400,11.0000
2183.41,8.7337,8.5410,9.9800
2182.14,8.7285,8.5200,9.7600
2182.74,8.7310,8.5200,9.5210
2182.78,8.7311,8.5400,9.6000
2184.22,8.7369,8.5000,9.8000
2183.80,8.7352,8.5000,10.9400
2180.82,8.7233,8.5010,9.6800
2181.38,8.7255,8.5000,9.8000
2177.18,8.7087,8.5200,9.4800
2179.60,8.7184,8.5000,9.7600
2179.76,8.7190,8.5200,9.6410
2180.92,8.7237,8.5000,9.7000
2181.82,8.7273,8.5200,9.8600
2180.72,8.7229,8.5200,9.6000
2180.98,8.7239,8.5000,9.7200
2179.34,8.7174,8.5010,9.7210
2178.44,8.7138,8.5000,9.8200
2181.82,8.7273,8.4810,10.3010
2178.52,8.7141,8.5000,10.1000
2180.18,8.7207,8.5000,9.7800
2177.80,8.7112,8.5200,9.6200
2179.66,8.7186,8.5200,9.7400
2178.34,8.7133,8.5200,9.7210
2180.86,8.7234,8.5000,10.1600
2180.54,8.7222,8.5210,9.7800
2180.34,8.7214,8.5000,9.7800
2178.90,8.7156,8.5010,9.6810
2178.60,8.7144,8.5200,9.7400
2180.10,8.7204,8.5200,9.8400
2180.48,8.7219,8.5000,9.7200
2180.82,8.7233,8.5000,9.7000
2178.12,8.7125,8.4600,9.7410
2182.40,8.7296,8.5200,12.1800
2181.86,8.7274,8.5400,10.3610
2182.80,8.7312,8.5200,10.1400
2179.36,8.7174,8.5000,10.1600
2180.50,8.7220,8.5200,10.1810
2182.04,8.7282,8.4400,10.1400
2180.38,8.7215,8.5200,10.0810
2178.50,8.7140,8.5000,10.1000
2181.86,8.7274,8.5000,10.2400
2181.58,8.7263,8.4800,11.7800
2179.36,8.7174,8.5400,11.0800
2180.86,8.7234,8.5000,9.6810
2178.94,8.7158,8.5000,9.6000
2179.54,8.7182,8.5000,9.7210
2180.06,8.7202,8.4600,9.7000
2178.36,8.7134,8.4800,9.7600
2179.00,8.7160,8.5200,9.6010
2179.84,8.7194,8.5400,9.7000
2178.60,8.7144,8.5000,9.5210
2180.52,8.7221,8.5410,9.7000
2179.20,8.7168,8.5200,9.7000
