TOTAL_US,MEAN_US,MIN_US,MAX_US
5765.08,23.0603,20.3200,63.4220
5724.47,22.8979,20.3600,31.2600
5750.74,23.0030,20.4000,43.2010
5726.74,22.9070,20.4000,29.8610
5744.20,22.9768,20.3810,30.6810
5732.74,22.9310,20.3600,31.2400
5735.22,22.9409,20.3200,29.4010
5740.16,22.9607,20.2800,31.7210
5753.37,23.0135,20.3200,31.6000
5753.64,23.0146,20.3810,33.3810
5757.86,23.0314,20.3600,35.1610
5802.51,23.2100,20.3410,38.4610
5761.16,23.0447,20.3400,31.4410
5729.34,22.9174,20.1200,30.7600
5762.16,23.0486,20.3210,33.6800
5735.34,22.9414,20.4010,32.1600
12740.11,50.9604,20.3610,6925.7040
5825.85,23.3034,20.3210,35.8400
5852.12,23.4085,20.3800,32.9410
5824.12,23.2965,20.2210,35.7610
5842.18,23.3687,20.3600,35.0010
5943.55,23.7742,20.2800,48.7810
5510.62,22.0425,21.0000,38.7010
5388.06,21.5522,20.7200,27.9010
5289.93,21.1597,20.5000,22.7810
5298.16,21.1926,20.3400,31.4810
5256.28,21.0251,20.3410,23.3810
5285.39,21.1416,20.3600,26.7010
5256.00,21.0240,20.3010,22.7610
5299.21,21.1968,20.3200,33.9600
5256.49,21.0260,20.4010,22.9000
5284.91,21.1397,20.2810,29.1600
5263.55,21.0542,20.3010,23.4610
5723.02,22.8921,20.4600,138.0830
5613.72,22.4549,20.6200,28.4400
5546.72,22.1869,20.6200,26.3800
5541.85,22.1674,20.5800,25.2810
5683.22,22.7329,20.5210,46.5410
5952.31,23.8092,20.6810,40.5010
5486.02,21.9441,21.2610,23.9010
5402.86,21.6114,20.8200,24.8000
5373.88,21.4955,20.6400,28.3600
5378.48,21.5139,20.5600,61.8010
5325.41,21.3017,20.5800,24.9610
5325.69,21.3028,20.5010,27.8410
5308.65,21.2346,20.5000,24.4210
5327.24,21.3090,20.5200,30.5010
5304.49,21.2180,20.5610,23.7610
5305.88,21.2235,20.5600,23.6800
5315.82,21.2633,20.4000,29.6810
5562.70,22.2508,20.4000,187.3040
5573.57,22.2943,20.5400,33.3410
5537.92,22.1517,20.6010,26.6810
5526.18,22.1047,20.6410,25.9800
5520.82,22.0833,20.5610,26.2200
5587.26,22.3490,20.6000,31.5410
5699.90,22.7996,21.5400,48.3400
5451.42,21.8057,21.0810,31.5410
5370.51,21.4820,20.7800,26.4800
5366.60,21.4664,20.7200,31.1210
5307.14,21.2285,20.6000,23.7000
5329.72,21.3189,20.5610,27.2810
5302.43,21.2097,20.5600,23.0610
5337.14,21.3485,20.6000,27.2410
5302.51,21.2101,20.6000,22.9010
5315.08,21.2603,20.5210,27.8400
5336.73,21.3469,20.6000,30.4010
5302.38,21.2095,20.3400,25.3200
5358.51,21.4340,20.3200,139.5820
5595.72,22.3829,20.5400,48.4610
5578.22,22.3129,20.5600,28.6010
5519.61,22.0784,20.5400,25.6010
5535.92,22.1437,20.5200,26.1400
5692.76,22.7710,20.5010,42.1210
5843.82,23.3753,20.7410,42.6410
5459.33,21.8373,21.0800,25.1200
5357.86,21.4314,20.8400,24.0210
5320.25,21.2810,20.7200,24.9810
5326.56,21.3062,20.5000,32.8000
5297.70,21.1908,20.6000,22.9610
5301.13,21.2045,20.4400,22.6800
5323.77,21.2951,20.5010,27.9610
5345.24,21.3809,20.6210,26.9010
5315.12,21.2605,20.6000,27.0200
5326.46,21.3058,20.5210,25.1000
5305.22,21.2209,20.5610,24.7400
5281.69,21.1268,20.4400,22.3810
5285.63,21.1425,20.2800,29.9810
5677.19,22.7087,20.5410,153.0030
5567.38,22.2695,20.5800,30.9410
5533.78,22.1351,20.5410,25.8400
5516.72,22.0669,20.5400,26.4010
5661.28,22.6451,20.5600,40.1800
5921.92,23.6877,20.6600,44.8810
5488.08,21.9523,21.0600,23.2210
5411.59,21.6464,20.9200,29.8410
5369.68,21.4787,20.7010,29.2000
5325.55,21.3022,20.5800,22.9010
5337.93,21.3517,20.4800,29.7000
5301.37,21.2055,20.5400,23.1210
