TOTAL_US,MEAN_US,MIN_US,MAX_US
5767.36,23.0695,20.3800,65.4020
5717.42,22.8697,20.3810,31.3210
5728.04,22.9122,20.2410,30.4610
5745.92,22.9837,20.3200,45.9410
5752.92,23.0117,20.3400,31.8410
5752.38,23.0095,20.3410,31.2400
5746.82,22.9873,20.4010,31.0610
5744.24,22.9770,20.3000,31.7210
5804.00,23.2160,20.2200,44.9410
5785.78,23.1431,20.3000,38.5400
5764.22,23.0569,20.3810,37.7800
5748.48,22.9939,20.2800,37.6010
5761.46,23.0458,20.3600,41.2400
5725.50,22.9020,20.3010,30.9400
5764.06,23.0562,20.3800,32.4400
5735.22,22.9409,20.3000,31.0610
12751.58,51.0063,20.3800,6941.3230
5866.12,23.4645,20.3610,46.9810
5839.35,23.3574,20.3400,34.4600
5826.66,23.3067,20.3400,32.7010
5844.77,23.3791,20.1810,34.8810
5939.10,23.7564,20.3600,47.3010
5466.68,21.8667,20.8800,28.8600
5369.29,21.4772,20.5610,24.8400
5285.55,21.1422,20.5000,22.9000
5294.47,21.1779,20.1600,29.6210
5252.15,21.0086,20.3410,23.2400
5279.45,21.1178,20.4000,27.0810
5254.67,21.0187,20.3400,24.5600
5295.03,21.1801,20.3200,32.6800
5245.11,20.9804,20.3810,22.8600
5282.51,21.1301,20.2610,28.8010
5258.51,21.0340,20.2800,23.4200
5681.76,22.7270,20.3200,131.9620
5594.56,22.3782,20.5200,28.9810
5543.02,22.1721,20.5400,26.3810
5547.48,22.1899,20.5000,26.1000
5687.76,22.7510,20.4010,48.8610
5956.49,23.8259,20.6600,40.6410
5490.94,21.9637,21.0800,23.8800
5399.69,21.5988,20.9410,23.4800
5370.15,21.4806,20.6400,28.8600
5372.84,21.4914,20.6410,54.4010
5328.67,21.3147,20.4810,24.5410
5335.07,21.3403,20.5210,27.9010
5310.79,21.2432,20.5600,24.8000
5334.17,21.3367,20.5000,29.6210
5310.21,21.2408,20.6000,24.9810
5311.56,21.2462,20.6210,23.5000
5321.23,21.2849,20.4400,30.6410
5532.50,22.1300,20.2800,157.5620
5562.37,22.2495,20.5810,34.8400
5532.14,22.1285,20.3000,25.8410
5524.33,22.0973,20.3800,25.7810
5524.25,22.0970,20.5400,25.8410
5572.70,22.2908,20.5800,31.2800
5674.40,22.6976,21.4800,42.0210
5456.38,21.8255,21.1400,30.8800
5348.36,21.3934,20.8600,22.5000
5356.80,21.4272,20.7400,30.0600
5306.61,21.2265,20.6200,22.7810
5346.96,21.3878,20.6400,28.6610
5301.20,21.2048,20.6000,23.0010
5328.00,21.3120,20.5600,27.1010
5297.18,21.1887,20.5600,22.7000
5311.77,21.2471,20.5800,23.0010
5336.75,21.3470,20.5800,30.5800
5305.37,21.2215,20.2800,25.4810
5362.21,21.4489,20.3410,136.0420
5619.64,22.4786,20.5200,47.2010
5571.07,22.2843,20.5000,27.8000
5519.66,22.0786,20.5600,25.6000
5528.48,22.1139,20.5200,27.2800
5664.56,22.6583,20.4400,39.9200
5863.69,23.4548,20.6400,44.9810
5468.47,21.8739,21.1600,25.1410
5376.46,21.5058,20.9010,27.7800
5330.17,21.3207,20.7600,22.7400
5339.62,21.3585,20.7200,34.6810
5301.98,21.2079,20.6410,22.8610
5297.87,21.1915,20.5410,22.6610
5334.23,21.3369,20.5600,28.7800
5350.83,21.4033,20.6210,26.7800
5329.89,21.3196,20.5210,28.0800
5325.50,21.3020,20.5400,24.8400
5306.26,21.2250,20.5010,23.6410
5284.45,21.1378,20.3800,23.5010
5285.55,21.1422,20.2810,31.1810
5621.20,22.4848,20.6000,140.5230
5543.40,22.1736,20.5010,31.9610
5535.68,22.1427,20.5610,25.6410
5503.92,22.0157,20.5010,25.9400
5662.09,22.6484,20.5600,40.3610
5905.54,23.6222,20.6600,44.3010
5485.11,21.9405,21.1610,23.3810
5413.75,21.6550,20.9610,30.9810
5366.78,21.4671,20.7000,29.8200
5320.89,21.2836,20.5610,23.1810
5339.44,21.3577,20.5610,30.3410
5306.18,21.2247,20.6400,26.0410
