TOTAL_US,MEAN_US,MIN_US,MAX_US
6380.36,25.5214,22.6610,103.0220
6309.23,25.2369,22.7200,44.0810
6318.09,25.2724,22.7400,33.8010
6300.25,25.2010,22.7200,33.2800
6315.34,25.2613,22.7010,36.0200
6309.03,25.2361,22.7010,33.3400
6326.71,25.3069,22.6800,46.2610
6307.44,25.2298,22.7000,33.7200
6318.31,25.2733,22.7000,36.1810
6323.75,25.2950,22.7000,39.9800
6349.31,25.3973,22.6800,49.9410
6301.69,25.2068,22.7000,42.3610
6308.04,25.2322,22.7210,34.3000
6281.79,25.1272,22.6400,32.8810
6316.42,25.2657,22.6600,35.6210
6312.25,25.2490,22.6600,47.6210
13463.04,53.8522,22.7600,7087.6670
6400.58,25.6023,22.7800,35.9410
6413.79,25.6552,22.8000,34.9800
6411.76,25.6470,22.7200,36.4000
6415.35,25.6614,22.7600,38.0410
6537.01,26.1480,22.7400,51.3810
6056.51,24.2260,23.3410,32.2010
5975.48,23.9019,23.0400,29.1010
5895.81,23.5832,22.9010,25.2800
5897.17,23.5887,22.8800,32.0210
5867.04,23.4682,22.6800,25.4210
5886.74,23.5470,22.7600,30.1010
5860.50,23.4420,22.7600,25.3010
5893.91,23.5756,22.7810,35.0800
5867.58,23.4703,22.7210,29.5810
5893.24,23.5730,22.8810,32.1400
5865.15,23.4606,22.8000,25.3400
6384.35,25.5374,22.9400,171.2830
6382.13,25.5285,23.0600,78.0410
6170.61,24.6824,23.0610,28.9410
6184.49,24.7380,23.1200,29.2410
6319.99,25.2800,23.0400,52.3210
6579.93,26.3197,23.1400,44.3210
6105.51,24.4220,23.7010,26.1210
6011.74,24.0470,23.4600,28.0000
5993.50,23.9740,23.2800,31.1400
5954.33,23.8173,23.0200,31.8200
5944.22,23.7769,23.0610,27.6800
5944.48,23.7779,23.0800,31.0000
5917.88,23.6715,22.9600,27.2610
5951.07,23.8043,23.0210,32.0610
5932.55,23.7302,23.0400,27.6210
5929.36,23.7174,23.1400,25.9210
5916.56,23.6662,22.7800,31.3610
14244.93,56.9797,22.8000,8290.1880
6142.79,24.5712,23.1200,28.3610
6145.05,24.5802,23.0600,27.8810
6147.42,24.5897,23.1400,28.3400
6147.75,24.5910,23.0800,28.2800
6200.43,24.8017,23.0410,35.1610
6278.83,25.1153,24.0000,45.5610
6062.05,24.2482,23.5400,33.4810
5985.15,23.9406,23.2800,25.1210
5972.31,23.8892,23.1200,32.3800
5935.06,23.7403,23.1210,25.4800
5952.61,23.8104,23.0200,30.5000
5933.73,23.7349,23.0800,27.4000
5957.45,23.8298,23.0810,30.9610
5927.17,23.7087,23.0800,25.8600
5927.39,23.7096,23.0810,25.9810
5934.17,23.7367,23.0200,27.3200
5913.71,23.6548,22.8000,32.1400
6015.89,24.0635,22.8200,190.2230
6181.17,24.7247,23.1200,42.3210
6175.33,24.7013,23.1010,28.5400
6158.51,24.6341,23.1000,30.5000
6156.97,24.6279,23.0000,28.0410
6289.00,25.1560,23.0800,44.7010
6457.48,25.8299,23.2400,44.7600
6075.79,24.3031,23.6200,27.4210
5971.43,23.8857,23.3200,26.3410
5941.01,23.7640,23.0800,25.0410
5950.73,23.8029,23.0010,32.9400
5918.74,23.6750,23.0400,25.7000
5925.31,23.7012,23.0210,26.5410
5959.76,23.8390,23.0000,31.5200
5964.53,23.8581,23.1000,29.5200
5937.76,23.7511,22.8810,30.3800
5939.11,23.7564,23.0000,27.4610
5910.01,23.6400,22.9800,25.8010
5891.44,23.5658,22.7210,25.4800
5882.87,23.5315,22.7010,32.5800
6339.38,25.3575,23.0800,159.6430
6190.75,24.7630,23.0410,31.9600
6165.65,24.6626,23.0600,28.2000
6127.83,24.5113,23.0400,28.6810
6295.67,25.1827,23.0200,42.3010
6522.20,26.0888,23.1400,48.0610
6105.25,24.4210,23.7600,25.9810
6049.37,24.1975,23.5210,35.0210
5994.97,23.9799,23.2800,31.0600
5951.58,23.8063,23.1210,26.1800
5963.55,23.8542,23.0410,31.5600
5935.58,23.7423,23.0400,26.0200
