TOTAL_US,MEAN_US,MIN_US,MAX_US
6336.53,25.3461,22.7010,99.1820
6312.07,25.2483,22.7600,32.7600
6328.13,25.3125,22.6800,51.0210
6300.37,25.2015,22.7210,32.7010
6324.95,25.2998,22.7000,33.0410
6309.03,25.2361,22.7400,32.2400
6307.31,25.2292,22.7600,31.5200
6330.87,25.3235,22.7200,46.2010
6338.38,25.3535,22.7010,38.4800
6334.13,25.3365,22.7000,42.2010
6339.71,25.3588,22.7600,41.3010
6330.83,25.3233,22.7600,46.4010
6321.81,25.2872,22.7200,36.1010
6294.09,25.1764,22.7400,37.4600
6324.70,25.2988,22.7000,37.3600
6300.73,25.2029,22.7810,37.2410
13527.68,54.1107,22.7800,7122.0470
6407.92,25.6317,22.8010,35.1600
6424.21,25.6968,22.7400,34.9400
6408.52,25.6341,22.8210,35.7400
6440.88,25.7635,22.7800,47.0010
6534.57,26.1383,22.7000,53.5210
6062.51,24.2500,23.3400,31.5810
5969.26,23.8771,23.1000,27.0610
5896.38,23.5855,22.9210,25.2800
5894.18,23.5767,22.7800,31.9600
5861.39,23.4455,22.7800,25.5000
5884.58,23.5383,22.8010,28.7000
5856.02,23.4241,22.7400,25.1000
5898.36,23.5934,22.8000,34.6800
5860.60,23.4424,22.7810,25.5800
5885.22,23.5409,22.7800,32.2600
5866.54,23.4662,22.8000,25.7610
6356.35,25.4254,22.9410,169.6630
6231.71,24.9268,23.1000,31.9410
6180.59,24.7224,23.0600,28.6200
6179.67,24.7187,23.0400,29.4400
6271.79,25.0871,23.0000,51.5810
6554.94,26.2197,23.0210,45.2610
6081.49,24.3259,23.5400,25.6010
5993.17,23.9727,23.3010,27.7800
5974.75,23.8990,23.1800,30.2010
5951.63,23.8065,23.2010,31.6200
5948.09,23.7923,23.0210,27.1210
5948.87,23.7955,23.0810,29.9000
5930.33,23.7213,23.1000,26.3800
5946.61,23.7864,23.0800,31.9200
5926.45,23.7058,23.1200,25.9400
5922.89,23.6915,23.1600,26.0600
5910.14,23.6406,22.7800,31.4010
6133.47,24.5339,22.8000,164.9030
6203.81,24.8152,23.0610,29.5210
6154.73,24.6189,23.1400,28.2810
6145.75,24.5830,23.1010,28.5000
6153.55,24.6142,23.0400,28.3600
6199.33,24.7973,23.0600,36.2610
6294.78,25.1791,24.0000,47.0210
6075.35,24.3014,23.6000,33.9810
5965.15,23.8606,23.2610,25.4400
5976.13,23.9045,23.2000,31.9200
5927.31,23.7092,23.0210,24.7800
5951.43,23.8057,23.1000,30.1800
5924.37,23.6975,23.1010,25.8400
5942.01,23.7680,23.0200,29.5600
5903.37,23.6135,22.9600,25.4610
5906.47,23.6259,22.9410,25.8600
5906.59,23.6264,22.9600,27.5600
5908.93,23.6357,22.8000,32.5410
6027.63,24.1105,22.7800,199.9230
6225.35,24.9014,22.9810,45.3010
6169.99,24.6800,23.0600,29.5610
6136.09,24.5444,23.0200,27.9810
6125.31,24.5012,23.0210,27.8800
6265.75,25.0630,23.0210,45.8210
6459.02,25.8361,23.1600,47.3010
6068.63,24.2745,23.5800,27.4800
5977.63,23.9105,23.3810,25.4800
5930.81,23.7232,23.0800,24.9610
5953.35,23.8134,23.0800,33.9210
5937.70,23.7508,23.1200,27.9410
5923.60,23.6944,23.0400,25.7210
5951.58,23.8063,23.0200,30.5810
5972.76,23.8911,23.1200,28.7410
5947.28,23.7891,23.0600,29.7610
5950.05,23.8002,23.1200,27.5010
5920.20,23.6808,22.9800,25.2600
5893.60,23.5744,22.8800,25.3600
5935.25,23.7410,22.7610,55.2010
6384.67,25.5387,23.1410,182.6830
6190.23,24.7609,23.1400,31.1800
6153.25,24.6130,23.0000,28.0010
6123.45,24.4938,22.9600,28.1000
6274.53,25.0981,22.9810,44.7800
6542.38,26.1695,23.1010,52.9810
6080.31,24.3212,23.5610,26.7400
6024.48,24.0979,23.3610,34.8810
5984.17,23.9367,23.1410,31.6000
5945.77,23.7831,23.0010,26.1010
6042.45,24.1698,23.1010,49.1010
5933.15,23.7326,22.9410,27.0400
