TOTAL_US,MEAN_US,MIN_US,MAX_US
2230.16,8.9207,8.5600,34.7000
2194.42,8.7777,8.5400,10.7400
2191.34,8.7654,8.5400,10.8200
2191.40,8.7656,8.5610,10.2800
2188.34,8.7534,8.5400,10.7600
2189.24,8.7570,8.5410,10.3400
2189.20,8.7568,8.5400,10.2800
2188.04,8.7522,8.5600,10.0000
2193.06,8.7722,8.5600,13.7400
2230.76,8.9230,8.5200,25.6410
2184.36,8.7374,8.5200,9.9000
2182.70,8.7308,8.5010,9.6800
2183.88,8.7355,8.5400,9.8400
2182.74,8.7310,8.4800,9.9400
2182.12,8.7285,8.5200,9.9000
2183.12,8.7325,8.5200,10.4600
2180.68,8.7227,8.5200,9.8410
2183.34,8.7334,8.5000,9.9210
2180.84,8.7234,8.5200,9.6600
2183.50,8.7340,8.5000,9.8600
